timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
200,130,1500,100,0.0003,1,8,1,2,99.69,99.32,99.66,0.0031208505388349295,0.00710381381213665,0.0031786805484443903,99.69,99.32,99.66,4.441687107086182,8.072608947753906,3.6793596744537354,0.004879970743786544,0.0005625931765908101,140.23,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,140,1500,100,0.0003,1,8,1,2,99.63,98.57,99.62,0.0036421536933630705,0.014773622155189514,0.00356272142380476,99.63,98.57,99.62,5.0829176902771,22.8206787109375,3.7433934211730957,0.004820882815402001,0.0006367814885462462,138.52,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,150,1500,100,0.0003,1,8,1,2,99.62,98.57,99.59,0.003751771990209818,0.014806512743234634,0.0038188467733561993,99.62,98.57,99.59,5.061039447784424,23.244617462158203,4.117794990539551,0.004643911398015916,0.0006194660367840896,141.33,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,159,1500,100,0.0003,1,8,1,2,99.62,99.28,99.53,0.003700864966958761,0.007439009379595518,0.004325324669480324,99.62,99.28,99.53,4.869334697723389,9.351994514465332,4.720661163330078,0.004424332496710121,0.0006120868624509821,145.97,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,169,1500,100,0.0003,1,8,1,2,99.48,98.77,99.14,0.00512307696044445,0.012911546044051647,0.007915442809462547,99.48,98.77,99.14,6.281994342803955,14.92003345489502,9.004695892333984,0.0057107067247852685,0.0007751524928267485,138.9,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,179,1500,100,0.0003,1,8,1,2,99.51,98.45,99.28,0.004825626965612173,0.016156742349267006,0.00673958845436573,99.51,98.45,99.28,5.467685699462891,22.61326026916504,7.327949523925781,0.005422564395703375,0.0008616095432584509,145.15,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,189,1500,100,0.0003,1,8,1,2,99.54,98.58,99.46,0.004467908293008804,0.014710132963955402,0.005053285509347916,99.54,98.58,99.46,5.285334587097168,20.552614212036133,5.359467506408691,0.004630010125692934,0.0010007740969769884,144.44,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,199,1500,100,0.0003,1,8,1,2,99.32,98.42,99.12,0.006801990792155266,0.01674565300345421,0.008440671488642693,99.32,98.42,99.12,7.385866165161133,22.246252059936523,8.897727966308594,0.007084722160361707,0.0017239742787102923,149.4,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
500,0,1500,100,0.0003,1,8,1,2,99.54,99.16,99.41,0.004422950092703104,0.008399682119488716,0.005377464462071657,99.54,99.16,99.41,6.372875213623047,12.02387809753418,7.058394908905029,0.03417436644434929,0.0025378123872059847,156.29,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
500,5,1500,100,0.0003,1,8,1,2,99.58,98.94,99.52,0.004078619182109833,0.010840211994946003,0.004449819680303335,99.58,98.94,99.52,5.402747631072998,12.771434783935547,5.004946708679199,0.028046652469784022,0.0018627862452900963,154.76,100,91500,2025_12_02-16_10_53,no,LSTM,stateless,cuda,StandardScaler
