lookback_length_L,m,forecasting_length_H,input_size,hidden_size,number_of_layers,output_size,num_of_epochs,batch_size_b,learning_rate,length_train,length_val,variate,mse_train_scaled,mse_val_scaled,r2_train_scaled,r2_val_scaled,mse_train_unscaled,mse_val_unscaled,r2_train_unscaled,r2_val_unscaled,loss_mean_last1000,loss_std_last1000,time_training,num_of_iterations,id,weighted,architecture,training_type,device,scaler
96,27,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.07671665400266647,0.23224717496111988,92.35,72.12,6.21641206741333,106.22949668013453,92.35,-10108.25,0.20964465951919556,0.047305960985000325,309.24,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,34,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.07712171971797943,0.2893954380749492,92.31,69.09,6.249238967895508,91.34836068729162,92.31,-8720.53,0.19983517157286407,0.05735811895109869,296.75,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,41,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.08360689133405685,0.17371409337907098,91.66,78.21,6.77473783493042,107.8817303085804,91.66,-9964.17,0.1721122948937118,0.04295861233757212,313.55,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,48,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.07231493294239044,0.15464203356197104,92.79,81.27,5.859737873077393,113.29304965441227,92.79,-11149.33,0.17026159980148076,0.04969455785581597,307.26,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,54,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.05838361382484436,0.23025128736398182,94.18,75.52,4.730874538421631,100.75056498602629,94.18,-9820.5,0.11899915979802608,0.03530272614207774,312.19,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,61,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.07843206077814102,0.18606792650984136,92.18,77.8,6.355413913726807,111.08137139142752,92.18,-10483.07,0.12691487619280814,0.036696136727579994,314.29,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,68,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.0668371394276619,0.24445709959217346,93.33,73.84,5.415870666503906,100.723000172925,93.33,-10043.46,0.09878059232980013,0.032431301563274596,307.86,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,75,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.06907445937395096,0.18380550530073234,93.11,78.45,5.597163677215576,109.54283469691276,93.11,-10505.45,0.0883539165854454,0.03357353216992548,305.67,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,81,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.06589216738939285,0.23083057066092733,93.43,73.63,5.339298725128174,99.44952492290139,93.43,-9731.88,0.08183918520994485,0.02860091952311997,313.06,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,88,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.06090011075139046,0.2078638956367271,93.92,76.61,4.934788227081299,108.39130897331238,93.92,-10535.48,0.07419971142522991,0.02741261812861204,307.79,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,95,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.0677260309457779,0.22700359234232456,93.24,75.29,5.487895488739014,103.37743786888123,93.24,-10203.91,0.06889459014497698,0.026286517139144566,318.71,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
192,0,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.024655869230628014,0.20031022963817233,97.55,77.23,1.997887134552002,113.51357755278349,97.55,-10984.81,0.1687217536047101,0.02547004889391893,401.99,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,10,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.0253517534583807,0.17540133774504066,97.48,78.99,2.054274320602417,106.5197822089076,97.48,-10236.81,0.1430153007134795,0.02497976436641169,408.82,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,20,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.03445439413189888,0.2530202592297457,96.57,72.76,2.7918670177459717,92.81601461782455,96.57,-9250.22,0.14748836370557547,0.031402997620301756,404.08,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,30,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.026929577812552452,0.22198139408044518,97.32,75.71,2.182126522064209,101.6012815389514,97.32,-9901.92,0.10271742556244134,0.02043489982537608,405.98,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,40,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.06998589634895325,0.2122120737670688,93.04,74.32,5.671019077301025,110.88707011947035,93.04,-10435.5,0.11546414665877819,0.022792304453196074,411.01,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,50,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.023477012291550636,0.14600750793381595,97.66,81.94,1.9023628234863281,120.4987683093071,97.66,-11128.39,0.06702270471304655,0.01557861019506785,401.27,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,60,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.02332000434398651,0.12012630315884017,97.68,83.42,1.8896406888961792,117.87713569585085,97.68,-11047.08,0.057693041425198315,0.014141178747771554,399.76,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,70,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.025004325434565544,0.12821445306411478,97.51,82.92,2.026122570037842,114.88061345781088,97.51,-10971.98,0.05128570556268096,0.020373564481218263,399.14,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,80,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.020360035821795464,0.1350729691178538,97.97,82.36,1.64979088306427,113.92488354120255,97.97,-11241.43,0.03653354878164828,0.009973724185495136,415.15,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,90,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.020361365750432014,0.11641190206378232,97.97,84.46,1.6498994827270508,126.13777397112847,97.97,-11947.47,0.031031050255522132,0.00691422018902127,405.26,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,101,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.022057130932807922,0.18540273648025468,97.8,77.89,1.7873090505599976,117.60196592931747,97.8,-11331.51,0.027743391615338623,0.012364824613594835,401.61,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,111,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.017073428258299828,0.19140120004378258,98.3,77.87,1.3834742307662964,111.98176788288355,98.3,-10918.59,0.021003120700828732,0.003912758451839605,401.82,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,121,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.01652156375348568,0.12193613228090107,98.36,83.29,1.3387566804885864,129.709453576982,98.36,-12349.43,0.01860759433824569,0.003242338158410371,389.82,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,131,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.015074501745402813,0.13701775221207646,98.5,80.96,1.2214994430541992,123.77752989943028,98.5,-12008.63,0.022546562888659537,0.01812699044505186,400.37,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,141,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.01960376463830471,0.11189217837317847,98.05,84.7,1.5885099172592163,135.48877670378684,98.05,-12653.98,0.02034668844472617,0.0034994028002967937,399.71,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,151,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.014422866515815258,0.13464550553727894,98.56,82.68,1.1686965227127075,123.0158242767334,98.56,-12126.92,0.01534506828803569,0.004272171545495081,393.06,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,161,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.022881241515278816,0.1588573075083317,97.72,81.11,1.854087233543396,104.30170658643246,97.72,-10304.21,0.021402167062275112,0.004189810345312563,395.04,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,171,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.01494618784636259,0.18979938622922637,98.51,77.94,1.2111014127731323,122.36114718370438,98.51,-11867.84,0.01401299377111718,0.003033296502397825,381.43,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,181,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.019271772354841232,0.1740889425856527,98.08,79.35,1.5616083145141602,107.42411304078102,98.08,-10434.19,0.022763228114694358,0.00937057956305095,392.68,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
192,191,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.01985456980764866,0.2109812600009609,98.02,76.64,1.6088329553604126,117.96421356480121,98.02,-11304.05,0.021712087771855296,0.006590740549438402,386.06,246300,2025_12_04-00_14_54,no,LSTM,stateless retrain,cuda,StandardScaler
19904,0,96,1,96,1,96,183900,1,0.0002,20000,5000,2,0.151624396443367,0.11018638704782352,88.51,83.9,12.2862548828125,116.02742356657981,88.51,-10978.72,0.20595793648064137,0.053920061967269395,5444.32,183900,2025_12_04-02_49_34,no,LSTM,BPTT,cuda,StandardScaler
