lookback_length_L,m,forecasting_length_H,input_size,hidden_size,number_of_layers,output_size,num_of_epochs,batch_size_b,learning_rate,length_train,length_val,variate,mse_train_scaled,mse_val_scaled,r2_train_scaled,r2_val_scaled,mse_train_unscaled,mse_val_unscaled,r2_train_unscaled,r2_val_unscaled,loss_mean_last1000,loss_std_last1000,time_training,num_of_iterations,id,weighted,architecture,training_type,device,scaler
48,31,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.29777991771698,0.3248585801072685,70.37,60.82,0.0003471768868621439,0.9138926950771185,70.37,2.18,0.3092209149897098,0.035423882630999284,180.6,164000,2025_12_03-14_31_43,no,LSTM,stateless retrain,cuda,StandardScaler
48,37,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.293364018201828,0.3398726305225864,70.81,59.65,0.00034202830283902586,0.9146959756279276,70.81,2.1,0.30103566047549246,0.03577813057474956,186.99,164000,2025_12_03-14_31_43,no,LSTM,stateless retrain,cuda,StandardScaler
48,42,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.28914645314216614,0.3354985058085904,71.23,59.77,0.0003371112106833607,0.914253319906337,71.23,2.14,0.2933748050779104,0.03536731131964298,184.51,164000,2025_12_03-14_31_43,no,LSTM,stateless retrain,cuda,StandardScaler
48,47,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.2970198690891266,0.342836628115869,70.45,59.13,0.00034629073343239725,0.9140905704437977,70.45,2.17,0.2961345667541027,0.03657169117410639,187.58,164000,2025_12_03-14_31_43,no,LSTM,stateless retrain,cuda,StandardScaler
96,0,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.24016714096069336,0.28842877842086767,76.1,64.47,0.0002800069923978299,0.9113654070312068,76.1,2.45,0.33083039909601214,0.02716432386057128,203.22,163200,2025_12_03-15_03_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,7,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.23819439113140106,0.2930540787410878,76.29,63.59,0.00027770703309215605,0.9111124595627189,76.29,2.46,0.3007152305096388,0.026729775011116712,202.42,163200,2025_12_03-15_03_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,14,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.23378431797027588,0.29194218855839044,76.73,64.18,0.00027256537578068674,0.9113032038190535,76.73,2.46,0.285693314820528,0.026846332754961715,209.48,163200,2025_12_03-15_03_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,20,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.24216897785663605,0.2873896670649715,75.9,64.53,0.0002823409449774772,0.9115163696042838,75.9,2.43,0.2831305183619261,0.026942602052958172,199.4,163200,2025_12_03-15_03_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,27,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.23708005249500275,0.29856258750937525,76.4,63.24,0.00027640783810056746,0.9112948663266641,76.4,2.47,0.2747148444354534,0.02781449952696444,204.39,163200,2025_12_03-15_03_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,34,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.23885349929332733,0.2956099119880015,76.23,63.3,0.00027847554883919656,0.9114593495126991,76.23,2.44,0.26574847546219826,0.027622005004803492,198.45,163200,2025_12_03-15_03_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,41,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.2381322979927063,0.29275147133351614,76.3,63.3,0.0002776344772428274,0.9107565599715426,76.3,2.51,0.2615235280841589,0.027779603744916326,201.81,163200,2025_12_03-15_03_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,48,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.23551027476787567,0.2793957216332534,76.56,65.01,0.00027457764372229576,0.9108279830377016,76.56,2.51,0.2537380395382643,0.02785835793679791,210.86,163200,2025_12_03-15_03_35,no,LSTM,stateless retrain,cuda,StandardScaler
