timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
200,78,400,100,0.0001,1,8,1,1,99.97,99.96,99.87,0.0003025192127097398,0.0004128654836677015,0.0012949344236403704,99.97,99.96,99.87,9.03984528122237e-07,1.2337203543211217e-06,3.869509328069398e-06,0.0007818696030881256,9.641041599582226e-05,98.46,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,83,400,100,0.0001,1,8,1,1,99.97,99.96,99.87,0.00028740501147694886,0.00040568524855189025,0.0012979782186448574,99.97,99.96,99.87,8.588206696913403e-07,1.2122642374379211e-06,3.878605184581829e-06,0.0006075687249540351,7.474535671020547e-05,95.66,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,89,400,100,0.0001,1,8,1,1,99.97,99.96,99.87,0.000294694269541651,0.00042704070801846683,0.0013286207104101777,99.97,99.96,99.87,8.80602215147519e-07,1.2760785921273055e-06,3.970170837419573e-06,0.0004535125257098116,5.6882212653948645e-05,95.33,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,94,400,100,0.0001,1,8,1,1,99.97,99.96,99.86,0.00029675010591745377,0.00044113717740401626,0.0013471856946125627,99.97,99.96,99.86,8.867455676409008e-07,1.31820127080573e-06,4.025645921501564e-06,0.0003584296823828481,4.5768010931556786e-05,100.7,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,99,400,100,0.0001,1,8,1,1,99.97,99.96,99.86,0.0002860202803276479,0.00043688828009180725,0.0013498349580913782,99.97,99.96,99.86,8.546827530153678e-07,1.3055046110821422e-06,4.033563072880497e-06,0.0002879967489570845,3.7220406950852796e-05,99.29,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,110,400,100,0.0001,1,8,1,1,99.97,99.96,99.86,0.00025182461831718683,0.00038473974564112723,0.0013565688859671354,99.97,99.96,99.86,7.524996021857078e-07,1.1496751994855003e-06,4.0536847336625215e-06,0.0001873126944701653,2.3352463273022635e-05,100.28,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,120,400,100,0.0001,1,8,1,1,99.98,99.98,99.86,0.0001848254178185016,0.00025252121849916875,0.0013388183433562517,99.98,99.98,99.86,5.522933292922971e-07,7.545812650278094e-07,4.000642547907773e-06,0.00014102007051405963,1.853283693662573e-05,94.12,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,130,400,100,0.0001,1,8,1,1,99.99,99.99,99.85,0.00013607475557364523,0.0001137674116762355,0.0015158199239522219,99.99,99.99,99.85,4.066171186423162e-07,3.3995851822510303e-07,4.529557827481767e-06,0.0001215354787564138,1.8911797999198007e-05,99.8,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,140,400,100,0.0001,1,8,1,1,99.98,99.99,99.79,0.00017741213378030807,9.86401573754847e-05,0.002068762667477131,99.98,99.99,99.79,5.301410510583082e-07,2.94755409413483e-07,6.181855496834032e-06,0.00010914230624621268,1.5790583256552356e-05,106.34,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,150,400,100,0.0001,1,8,1,1,99.97,99.98,99.72,0.0002821772650349885,0.0002152674423996359,0.002762956079095602,99.97,99.98,99.72,8.43198961320013e-07,6.432597956518293e-07,8.25623737910064e-06,0.00010166010979446582,1.5024263019525817e-05,92.61,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,159,400,100,0.0001,1,8,1,1,99.96,99.96,99.64,0.0004342314787209034,0.00043485802598297596,0.003529788227751851,99.96,99.96,99.64,1.2975659728908795e-06,1.299438167734479e-06,1.0547675628913566e-05,9.548380854539574e-05,1.3636005874881085e-05,103.14,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,169,400,100,0.0001,1,8,1,1,99.94,99.93,99.55,0.0006389394984580576,0.0007688426412642002,0.00442868797108531,99.94,99.93,99.55,1.909272441480425e-06,2.2974475086812163e-06,1.3233758181740995e-05,9.019475335662719e-05,1.2968852567301927e-05,99.49,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,179,400,100,0.0001,1,8,1,1,99.91,99.88,99.44,0.0009154718136414886,0.0012261351803317666,0.005535169038921595,99.91,99.88,99.44,2.735602947723237e-06,3.6639239624491893e-06,1.6540136130061e-05,8.779879048233852e-05,1.4531267586974e-05,101.68,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,189,400,100,0.0001,1,8,1,1,99.88,99.83,99.32,0.0012093159602954984,0.0017925199354067445,0.006769190076738596,99.88,99.83,99.32,3.613665057855542e-06,5.356388555810554e-06,2.0227620552759618e-05,9.472325684328097e-05,2.06341988123044e-05,98.52,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,199,400,100,0.0001,1,8,1,1,99.81,99.68,99.17,0.001872644410468638,0.0033252891153097153,0.008272197097539902,99.81,99.68,99.17,5.595817128778435e-06,9.936592505255248e-06,2.47188909270335e-05,0.00014023400566657074,6.381261269644929e-05,103.27,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
500,0,400,100,0.0001,1,8,1,1,99.97,99.96,99.88,0.0002974991803057492,0.0003838165139313787,0.0012146318331360817,99.97,99.96,99.88,8.889840046322206e-07,1.1469164746813476e-06,3.6295502923167078e-06,0.028905425425618886,0.0030598582874574046,131.16,100,78000,2025_12_01-21_16_30,no,LSTM,stateless,cuda,StandardScaler
500,5,400,100,0.0001,1,8,1,1,99.97,99.97,99.88,0.00029061807435937226,0.0003460702137090266,0.001229866174980998,99.97,99.97,99.88,8.684218073540251e-07,1.0341233291910612e-06,3.675072548503522e-06,0.02075666779652238,0.0021977426516537,124.07,100,78000,2025_12_01-21_16_30,no,LSTM,stateless,cuda,StandardScaler
500,10,400,100,0.0001,1,8,1,1,99.97,99.97,99.88,0.00028451313846744597,0.00033660660847090185,0.001228820183314383,99.97,99.97,99.88,8.501791626258637e-07,1.00584418305516e-06,3.671947069960879e-06,0.014953044783324003,0.0015824235170953415,119.89,100,78000,2025_12_01-21_16_30,no,LSTM,stateless,cuda,StandardScaler
500,16,400,100,0.0001,1,8,1,1,99.97,99.97,99.88,0.00028152100276201963,0.0003449190116953105,0.0012226016260683537,99.97,99.97,99.88,8.412381475864095e-07,1.0306833928552805e-06,3.653364956335281e-06,0.01015637993812561,0.0010890396877352188,119.6,100,78000,2025_12_01-21_16_30,no,LSTM,stateless,cuda,StandardScaler
500,21,400,100,0.0001,1,8,1,1,99.97,99.97,99.87,0.00027959534781984985,0.0003569323744159192,0.001252274843864143,99.97,99.97,99.87,8.354838882951299e-07,1.0665814897947712e-06,3.7420340959215537e-06,0.00740043590310961,0.000806132258150047,120.24,100,78000,2025_12_01-21_16_30,no,LSTM,stateless,cuda,StandardScaler
500,26,400,100,0.0001,1,8,1,1,99.97,99.96,99.88,0.00027521527954377234,0.0003700056404341012,0.0011821165680885315,99.97,99.96,99.88,8.223955774155911e-07,1.1056470157200238e-06,3.5323887459526304e-06,0.005377511344850063,0.0005856066298319542,125.2,100,78000,2025_12_01-21_16_30,no,LSTM,stateless,cuda,StandardScaler
